,회사,산업,사원수,연봉
278,한화시스템,전기·전자·제어,3674,5647
279,엔에이치엔애드,광고·홍보·전시,150,2000
280,군인공제회,은행·금융,187,2991
281,에이에스엠엘코리아,전기·전자·제어,1400,3900
282,신세계톰보이,섬유·의류·패션,68,3700
283,크래프톤,게임·애니메이션,730,3371
284,메가존,웹에이전시,900,4059
285,삼일회계법인,회계·세무·법무,50,5487
286,좋은사람들,섬유·의류·패션,302,2942
287,쌍방울,섬유·의류·패션,236,2933
288,이엠넷,광고·홍보·전시,300,3442
289,티보코리아,솔루션·SI·CRM·ERP,6,2700
290,비스티온일렉트로닉스코리아,자동차·조선·철강·항공,34,4800
291,서울주택도시공사,공기업·공공기관,1310,7500
292,다우기술,솔루션·SI·CRM·ERP,543,5055
293,한국철도공사,공기업·공공기관,27867,5300
294,넥슨코리아,컴퓨터·하드웨어·장비,4500,4563
295,한국공항공사,공기업·공공기관,2456,4000
296,이든티앤에스,컴퓨터·하드웨어·장비,130,3798
297,마이다스아이티,솔루션·SI·CRM·ERP,236,4966
298,보험개발원,공기업·공공기관,247,4506
299,중소기업중앙회,공기업·공공기관,338,6200
300,프라코,자동차·조선·철강·항공,400,7100
301,수성엔지니어링,건설·시공·토목·조경,786,3766
302,푸드트리,식품가공,10,2420
303,대우에스티,금속·재료·자재,800,3380
304,펄어비스,게임·애니메이션,800,3965
305,포스코건설,건설·시공·토목·조경,5612,5083
306,씨제이이앤엠,방송·케이블·프로덕션,500,4271
307,호텔롯데,호텔·여행·항공,5037,4004
308,농심,생활용품·소비재·기타,5077,3400
309,LG유플러스,네트워크·통신서비스,10577,4424
310,CJ,음식료·외식·프랜차이즈,50000,6500
311,현대위아,자동차·조선·철강·항공,3001,6800
312,해외자원개발협회,공기업·공공기관,26,4500
313,레이디오펄스,반도체·디스플레이·광학,11,6033
314,케이티디에스,솔루션·SI·CRM·ERP,1367,4984
315,엔이능률,출판·인쇄·사진,467,3927
316,한국티이케이,무역·상사,49,8500
317,엘지연암문화재단,공기업·공공기관,3,5400
318,농협하나로유통,백화점·유통·도소매,2713,4010
319,신세계아이앤씨,솔루션·SI·CRM·ERP,583,5115
320,교원,출판·인쇄·사진,4600,4686
321,나이키코리아,섬유·의류·패션,1210,3641
322,에스피씨네트웍스,네트워크·통신서비스,175,5328
323,에이디티캡스,시설관리·보안·경비,4900,4622
324,현대엠엔소프트,솔루션·SI·CRM·ERP,596,5162
325,롯데케미칼,화학·에너지·환경,4472,6300
326,농협경제지주,식품가공,2145,5520
327,삼성웰스토리,음식료·외식·프랜차이즈,3000,3449
328,후이즈,솔루션·SI·CRM·ERP,160,3097
329,대림건설,건설·시공·토목·조경,966,4500
330,한미약품,제약·보건·바이오,2491,6000
331,한온시스템,자동차·조선·철강·항공,2185,6340
332,만도,자동차·조선·철강·항공,4054,6300
333,한미헬스케어,솔루션·SI·CRM·ERP,268,3760
334,한국환경공단,공기업·공공기관,2893,2166
335,라인플러스,모바일·APP,1194,4962
336,코오롱인더스트리,화학·에너지·환경,3863,5775
337,빙그레,음식료·외식·프랜차이즈,1808,5000
338,테크윙,전기·전자·제어,650,3957
339,메디앙스,생활화학·화장품,146,4295
340,라이온코리아,생활용품·소비재·기타,298,3330
341,메디포스트,제약·보건·바이오,244,3680
342,삼보모터스,자동차·조선·철강·항공,477,3100
343,에이피알,생활화학·화장품,160,3280
344,한국지역난방공사,공기업·공공기관,2124,4500
345,경농,화학·에너지·환경,374,4671
346,현대글로비스,물류·운송·배송,1436,6437
347,현대백화점,백화점·유통·도소매,2924,4134
348,호텔신라,호텔·여행·항공,2372,4220
349,SOIL,화학·에너지·환경,3187,3725
350,해마로푸드서비스,음식료·외식·프랜차이즈,200,6900
351,청오디피케이,음식료·외식·프랜차이즈,431,3883
352,인바디,제약·보건·바이오,194,4734
353,씨젠,제약·보건·바이오,425,4880
354,국민연금공단,공기업·공공기관,5623,4690
355,이건홀딩스,건축·설비·환경,272,4460
356,아이마켓코리아,무역·상사,456,4022
357,한솔섬유,섬유·의류·패션,700,5500
358,한화생명보험,은행·금융,4015,6485
359,서우테크놀로지,기계·기계설비,48,3700
360,해커스어학원,학원·어학원·교육원,921,3268
361,애드쿠아인터렉티브,광고·홍보·전시,195,3344
362,남해화학,화학·에너지·환경,467,3200
363,한화손해보험,은행·금융,2927,6315
364,스마일게이트엔터테인먼트,게임·애니메이션,2019,4240
365,한국산업안전보건공단,공기업·공공기관,1562,5265
366,한화에어로스페이스,전기·전자·제어,2025,5590
367,한국피앤지판매,생활화학·화장품,172,3225
368,휴넷,학원·어학원·교육원,330,4288
369,농협손해보험,은행·금융,749,5400
370,롯데칠성음료,음식료·외식·프랜차이즈,5786,5600
371,제이티비씨,방송·케이블·프로덕션,233,3500
372,지에스칼텍스,화학·에너지·환경,3215,4800
373,루트로닉,제약·보건·바이오,302,3550
374,삼성생명보험,은행·금융,5148,6179
375,삼진,전기·전자·제어,80,3900
376,트라이씨클,쇼핑몰·오픈마켓·소셜커머스,180,4060
377,오뚜기,음식료·외식·프랜차이즈,2837,4800
378,디어포스,생활용품·소비재·기타,228,3350
379,한국국제협력단,공기업·공공기관,437,3876
380,삼성출판사,백화점·유통·도소매,314,3798
381,네패스,전기·전자·제어,600,5147
382,대웅제약,제약·보건·바이오,1437,4240
383,칸타코리아,컨설팅·연구·조사,322,3952
384,동아출판,출판·인쇄·사진,440,4101
385,실리콘웍스,반도체·디스플레이·광학,1035,4322
386,멀티캠퍼스,학원·어학원·교육원,710,4548
387,농업회사법인농우바이오,식품가공,431,3150
388,한독,제약·보건·바이오,962,4100
389,보령제약,제약·보건·바이오,1100,4140
390,대한무역투자진흥공사,공기업·공공기관,720,2669
391,에이플러스에셋어드바이저,증권·보험·카드,382,3686
392,에스케이인포섹,정보보안,1503,3957
393,대현,섬유·의류·패션,452,4240
394,라인프렌즈,생활용품·소비재·기타,298,5966
395,케이티하이텔,포털·컨텐츠·커뮤니티,674,4174
396,에이치디씨,건설·시공·토목·조경,2000,4450
397,라인게임즈,게임·애니메이션,310,2920
398,화신,자동차·조선·철강·항공,901,5200
399,메가스터디교육,학원·어학원·교육원,1100,3944
400,한국동서발전,공기업·공공기관,2545,5766
401,유안타증권,은행·금융,1717,4968
402,에스케이커뮤니케이션즈,포털·컨텐츠·커뮤니티,300,4473
403,금융감독원,공기업·공공기관,1589,4275
404,한화,기계·기계설비,5343,4825
405,세방전지,금속·재료·자재,1067,4000
406,에이블현대호텔앤리조트,호텔·여행·항공,279,3200
407,교보생명보험,은행·금융,3817,6812
408,오렌지라이프생명보험,증권·보험·카드,776,6493
409,텐바이텐,쇼핑몰·오픈마켓·소셜커머스,200,2966
410,부산은행,은행·금융,3220,5438
411,한영회계법인,회계·세무·법무,2500,5762
412,엘티삼보,건설·시공·토목·조경,500,6750
413,에뛰드,생활화학·화장품,194,5960
414,차그룹,제약·보건·바이오,6500,2800
415,코텍,반도체·디스플레이·광학,370,3440
416,직방,모바일·APP,200,2677
417,지니뮤직,포털·컨텐츠·커뮤니티,264,4221
418,한국가스안전공사,공기업·공공기관,1140,1850
419,유코카캐리어스,물류·운송·배송,210,3800
420,에스케이디앤디,건설·시공·토목·조경,100,5500
421,영원무역,섬유·의류·패션,460,6500
422,테스,전기·전자·제어,315,2800
423,웅진씽크빅,학습지·방문교육,2237,4695
424,금호타이어,자동차·조선·철강·항공,4680,5215
425,폴라리스쉬핑,물류·운송·배송,700,4800
426,버버리코리아,섬유·의류·패션,552,7200
427,뷰웍스,전기·전자·제어,324,4350
428,쏘카,렌탈·임대·리스,365,3928
429,한라홀딩스,자동차·조선·철강·항공,234,6892
430,한진중공업,자동차·조선·철강·항공,1957,5833
431,우리홈쇼핑,백화점·유통·도소매,967,4661
432,유신,건설·시공·토목·조경,1249,3845
433,이베이코리아유한책임회사,쇼핑몰·오픈마켓·소셜커머스,972,4080
434,케이티넥스알,솔루션·SI·CRM·ERP,80,4966
435,교육지대,포털·컨텐츠·커뮤니티,60,3600
436,신원,섬유·의류·패션,550,3955
437,삼성화재서비스손해사정,은행·금융,1850,4862
438,동원F&B,식품가공,3015,3523
439,해양환경공단,공기업·공공기관,580,2200
440,한국종합기술,건설·시공·토목·조경,1373,5700
441,이연제약,제약·보건·바이오,507,3785
442,주택관리공단,건설·시공·토목·조경,2233,3300
443,포스코아이씨티,솔루션·SI·CRM·ERP,2072,5239
444,대교,학습지·방문교육,2547,2994
445,네오위즈,게임·애니메이션,519,3791
446,네이버랩스,포털·컨텐츠·커뮤니티,139,6000
447,한국산업기술시험원,공기업·공공기관,719,3893
448,신세계푸드,음식료·외식·프랜차이즈,3562,4969
449,삼양사,화학·에너지·환경,3000,6600
450,어플라이드머티어리얼즈코리아,전기·전자·제어,1457,5380
451,휠라홀딩스,백화점·유통·도소매,52,3650
452,현대미포조선,자동차·조선·철강·항공,3073,6600
453,대동공업,기계·기계설비,1043,6700
454,차이커뮤니케이션,광고·홍보·전시,270,3522
455,서울메트로,공기업·공공기관,50,4300
456,에스엠컬처앤콘텐츠,연예·엔터테인먼트,280,3516
457,한성자동차,자동차·조선·철강·항공,2000,3550
458,팬오션,물류·운송·배송,1003,5369
459,엠로,솔루션·SI·CRM·ERP,250,4795
460,롯데하이마트,백화점·유통·도소매,3917,4349
461,메르세데스벤츠코리아,백화점·유통·도소매,267,5160
462,코오롱베니트,솔루션·SI·CRM·ERP,585,5647
463,대한제분,식품가공,341,4500
464,디에이피,전기·전자·제어,1039,3133
465,지에스아이티엠,솔루션·SI·CRM·ERP,700,4798
466,주성엔지니어링,전기·전자·제어,413,3326
467,고영테크놀러지,반도체·디스플레이·광학,455,5688
468,바바리안모터스,자동차·조선·철강·항공,700,2850
469,풀무원,식품가공,460,5241
470,한국존슨앤드존슨,제약·보건·바이오,1000,3500
471,엔에이치엔고도,솔루션·SI·CRM·ERP,240,3891
472,에스케이실트론,반도체·디스플레이·광학,3152,7800
473,팜스코,식품가공,650,2400
474,현대홈쇼핑,백화점·유통·도소매,935,3897
475,쌍용자동차,자동차·조선·철강·항공,2880,5520
476,한국정보기술,솔루션·SI·CRM·ERP,235,3635
477,굿네이버스인터내셔날,제약·보건·바이오,997,5380
478,롯데손해보험,은행·금융,1251,5348
479,오비맥주,생활용품·소비재·기타,1994,6137
480,한국에스지에스,컨설팅·연구·조사,968,4708
481,에이스테크놀로지,전기·전자·제어,425,4350
482,더클래스효성,백화점·유통·도소매,850,4450
483,한화호텔앤드리조트,호텔·여행·항공,3157,4129
484,푸르밀,식품가공,400,3700
485,엘에스일렉트릭,전기·전자·제어,3328,5250
486,하나은행,은행·금융,12683,6341
487,동아쏘시오홀딩스,제약·보건·바이오,2531,3500
488,문화방송,방송·케이블·프로덕션,1691,2910
489,한화투자증권,은행·금융,1076,5769
490,시큐아이,컴퓨터·하드웨어·장비,406,4910
491,파리크라상,음식료·외식·프랜차이즈,6500,5200
492,온세미컨덕터코리아,반도체·디스플레이·광학,1600,4214
493,태평양물산,섬유·의류·패션,500,6406
494,이디야,음식료·외식·프랜차이즈,401,4833
495,이투스교육,포털·컨텐츠·커뮤니티,763,3974
496,카길애그리퓨리나,식품가공,423,8250
497,디비아이엔씨,솔루션·SI·CRM·ERP,396,5145
498,유진기업,건축·설비·환경,658,5156
499,원익홀딩스,반도체·디스플레이·광학,1306,5250
500,르노삼성자동차,자동차·조선·철강·항공,4207,5236
501,퍼스텍,솔루션·SI·CRM·ERP,360,4275
502,대우조선해양,자동차·조선·철강·항공,9430,5227
503,싸이버로지텍,솔루션·SI·CRM·ERP,400,5484
504,한미글로벌건축사사무소,건축·설비·환경,818,3433
505,장금상선,물류·운송·배송,270,5046
506,한국아이비엠,컴퓨터·하드웨어·장비,1404,5538
507,우리넷,전기·전자·제어,148,4500
508,케이씨씨건설,건설·시공·토목·조경,970,3646
509,에스트래픽,컴퓨터·하드웨어·장비,167,5148
510,셀트리온제약,제약·보건·바이오,808,4350
511,에이테크솔루션,자동차·조선·철강·항공,440,3015
512,에스케이플래닛,네트워크·통신서비스,952,4531
513,대한산업안전협회,협회·단체,1090,5600
514,인크로스,광고·홍보·전시,200,4210
515,삼성메디슨,기계·기계설비,1002,4968
516,헤럴드에듀,학원·어학원·교육원,103,5333
517,동국제강,자동차·조선·철강·항공,2570,4000
518,삼안,건설·시공·토목·조경,1091,4833
519,DB손해보험,은행·금융,4614,5429
520,아이엠비씨,포털·컨텐츠·커뮤니티,100,3593
521,소노호텔앤리조트,호텔·여행·항공,3050,3440
522,대구은행,은행·금융,3218,6557
523,농협파트너스,콜센터·아웃소싱·기타,5043,2655
524,도쿄일렉트론코리아,반도체·디스플레이·광학,1268,2866
525,쿠나이앤티,생활용품·소비재·기타,8,3600
526,코레일네트웍스,공기업·공공기관,1641,3794
527,교통안전공단,공기업·공공기관,1171,4016
528,미디어로그,포털·컨텐츠·커뮤니티,370,4274
529,위너지스,포털·컨텐츠·커뮤니티,43,5000
530,선데이토즈,게임·애니메이션,200,2726
531,아시아나항공,자동차·조선·철강·항공,9031,4066
532,오상자이엘,컴퓨터·하드웨어·장비,215,3987
533,성우하이텍,자동차·조선·철강·항공,1707,5425
534,코카콜라,음식료·외식·프랜차이즈,120,4500
535,엔에이치엔벅스,포털·컨텐츠·커뮤니티,125,2655
536,조이시티,게임·애니메이션,250,4007
537,홈플러스,백화점·유통·도소매,23000,5236
538,한국쓰리엠,생활용품·소비재·기타,1635,4975
539,한국바스프,화학·에너지·환경,1010,4000
540,현대에이치디에스,솔루션·SI·CRM·ERP,351,5616
541,엔테크서비스,포털·컨텐츠·커뮤니티,570,3474
542,호반건설,건설·시공·토목·조경,503,2900
543,세아창원특수강,자동차·조선·철강·항공,1186,5200
544,헬스밸런스,백화점·유통·도소매,95,3902
545,선진,식품가공,710,4100
546,푸본현대생명보험,증권·보험·카드,370,5372
